"ruuviMac","ruuviMovement","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","accelerationX","accelerationY","accelerationZ","measurementSequenceNumber","temperature","humidity","pressure","host","location"
"ca:95:7d:02:49:0f ","118","0","2869","-67","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.03 +03:00","532","-828","-240","13132","36,45","37,62","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2449","-54","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.02 +03:00","1056","84","-184","13408","34,33","40,6","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3205","-50","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.58 +03:00","672","-768","-204","17067","34,44","39,76","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","145","11","2515","-78","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.57 +03:00","972","300","-180","14093","34,78","38,53","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","108","0","2503","-65","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.55 +03:00","580","-820","-324","13646","33,81","39,63","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2407","-71","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.54 +03:00","0","892","-412","3939","35,65","38,44","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-59","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.52 +03:00","532","-828","-244","13122","36,45","37,59","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2449","-57","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.50 +03:00","1056","80","-184","13398","34,32","40,53","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3205","-54","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.46 +03:00","676","-764","-216","17060","34,44","39,71","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2449","-69","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.45 +03:00","720","-708","-168","13922","33,1","39,3","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","108","0","2503","-66","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.43 +03:00","588","-828","-332","13639","33,82","39,58","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2443","-54","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.42 +03:00","1052","76","-176","13391","34,33","40,47","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2443","-71","d8:a0:1d:65:7e:18 ","24.6.2020 13.14.38 +03:00","720","-712","-156","13914","33,11","39,25","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
