id,time,count,name
366,2020-06-24 09:56:20.964616+00,2,Aktiiviset
367,2020-06-24 09:56:22.266764+00,1,Aktiiviset
368,2020-06-24 09:56:24.142435+00,8,Alueella
369,2020-06-24 09:56:28.722366+00,0,Aktiiviset
370,2020-06-24 09:56:37.824521+00,1,Aktiiviset
371,2020-06-24 09:56:49.967502+00,9,Alueella
372,2020-06-24 09:56:58.540392+00,0,Aktiiviset
373,2020-06-24 09:57:10.68985+00,1,Aktiiviset
374,2020-06-24 09:57:11.12887+00,2,Aktiiviset
375,2020-06-24 09:57:17.867456+00,8,Alueella
376,2020-06-24 09:57:19.738301+00,1,Aktiiviset
377,2020-06-24 09:57:30.962955+00,0,Aktiiviset
378,2020-06-24 09:57:38.647111+00,1,Aktiiviset
379,2020-06-24 09:57:56.440645+00,2,Aktiiviset
380,2020-06-24 09:58:03.643914+00,3,Aktiiviset
381,2020-06-24 09:58:05.67067+00,9,Alueella
382,2020-06-24 09:58:07.72903+00,2,Aktiiviset
383,2020-06-24 09:58:12.584595+00,1,Aktiiviset
384,2020-06-24 09:58:14.500018+00,2,Aktiiviset
385,2020-06-24 09:58:16.42241+00,10,Alueella
386,2020-06-24 09:58:20.564227+00,1,Aktiiviset
387,2020-06-24 09:58:29.115754+00,0,Aktiiviset
388,2020-06-24 09:58:49.336667+00,9,Alueella
397,2020-06-24 09:59:39.846992+00,1,Aktiiviset
399,2020-06-24 10:00:06.784681+00,0,Aktiiviset
400,2020-06-24 10:00:08.754672+00,1,Aktiiviset
401,2020-06-24 10:00:31.68243+00,0,Aktiiviset
403,2020-06-24 10:01:15.735877+00,1,Aktiiviset
404,2020-06-24 10:01:45.988686+00,2,Aktiiviset
405,2020-06-24 10:01:56.304664+00,1,Aktiiviset
407,2020-06-24 10:02:19.062797+00,0,Aktiiviset
408,2020-06-24 10:02:42.02055+00,1,Aktiiviset
409,2020-06-24 10:02:42.138532+00,1,Aktiiviset
410,2020-06-24 10:02:43.416053+00,2,Aktiiviset
411,2020-06-24 10:02:45.025451+00,3,Aktiiviset
412,2020-06-24 10:03:14.348227+00,2,Aktiiviset
416,2020-06-24 10:03:34.614813+00,1,Aktiiviset
419,2020-06-24 10:05:19.259355+00,0,Aktiiviset
423,2020-06-24 10:05:34.592189+00,1,Aktiiviset
424,2020-06-24 10:05:49.392703+00,2,Aktiiviset
425,2020-06-24 10:06:10.356216+00,3,Aktiiviset
426,2020-06-24 10:06:27.872297+00,2,Aktiiviset
428,2020-06-24 10:06:39.750427+00,1,Aktiiviset
429,2020-06-24 10:07:14.299825+00,2,Aktiiviset
430,2020-06-24 10:07:57.399835+00,3,Aktiiviset
432,2020-06-24 10:08:40.471611+00,2,Aktiiviset
433,2020-06-24 10:08:40.572805+00,2,Aktiiviset
434,2020-06-24 10:08:41.338945+00,1,Aktiiviset
435,2020-06-24 10:08:42.180854+00,0,Aktiiviset
437,2020-06-24 10:09:01.787453+00,1,Aktiiviset
440,2020-06-24 10:09:18.610896+00,0,Aktiiviset
441,2020-06-24 10:09:45.023689+00,1,Aktiiviset
442,2020-06-24 10:09:45.105112+00,1,Aktiiviset
443,2020-06-24 10:09:45.765926+00,2,Aktiiviset
444,2020-06-24 10:10:09.022502+00,3,Aktiiviset
448,2020-06-24 10:11:20.826729+00,2,Aktiiviset
449,2020-06-24 10:11:20.904971+00,2,Aktiiviset
450,2020-06-24 10:11:21.771061+00,1,Aktiiviset
452,2020-06-24 10:11:41.052761+00,0,Aktiiviset
454,2020-06-24 10:12:25.67229+00,1,Aktiiviset
456,2020-06-24 10:13:12.861497+00,2,Aktiiviset
457,2020-06-24 10:13:35.396678+00,1,Aktiiviset
458,2020-06-24 10:13:39.093888+00,2,Aktiiviset
459,2020-06-24 10:13:53.250988+00,1,Aktiiviset
