time,readable_time,ble,rssi,wifi,dev-id
1592993658519,2020-06-24T10:14:18.519000Z,2,-96,2,D1C114BF764A1500
1592993664596,2020-06-24T10:14:24.596000Z,2,-101,3,D1C114BF764A1501
1592993722510,2020-06-24T10:15:22.510000Z,1,-97,2,D1C114BF764A1500
1592993724596,2020-06-24T10:15:24.596000Z,1,-99,4,D1C114BF764A1501
1592993782510,2020-06-24T10:16:22.510000Z,1,-105,2,D1C114BF764A1500
1592993784638,2020-06-24T10:16:24.638000Z,1,-104,5,D1C114BF764A1501
1592993842516,2020-06-24T10:17:22.516000Z,1,-106,2,D1C114BF764A1500
1592993904596,2020-06-24T10:18:24.596000Z,1,-103,1,D1C114BF764A1501
1592993962512,2020-06-24T10:19:22.512000Z,2,-101,2,D1C114BF764A1500
1592993964596,2020-06-24T10:19:24.596000Z,2,-101,2,D1C114BF764A1501
1592994022515,2020-06-24T10:20:22.515000Z,1,-100,2,D1C114BF764A1500
1592994078516,2020-06-24T10:21:18.516000Z,1,-100,4,D1C114BF764A1500
1592994084599,2020-06-24T10:21:24.599000Z,3,-105,1,D1C114BF764A1501
1592994143684,2020-06-24T10:22:23.684000Z,2,-94,1,D1C114BF764A1500
1592994144600,2020-06-24T10:22:24.600000Z,4,-102,1,D1C114BF764A1501
1592994198513,2020-06-24T10:23:18.513000Z,2,-98,1,D1C114BF764A1500
1592994204632,2020-06-24T10:23:24.632000Z,2,-99,3,D1C114BF764A1501
1592994258512,2020-06-24T10:24:18.512000Z,3,-94,4,D1C114BF764A1500
1592994264598,2020-06-24T10:24:24.598000Z,2,-111,3,D1C114BF764A1501
1592994322515,2020-06-24T10:25:22.515000Z,2,-94,2,D1C114BF764A1500
1592994324599,2020-06-24T10:25:24.599000Z,3,-108,2,D1C114BF764A1501
1592994383654,2020-06-24T10:26:23.654000Z,3,-99,1,D1C114BF764A1500
1592994384596,2020-06-24T10:26:24.596000Z,3,-101,3,D1C114BF764A1501
1592994442519,2020-06-24T10:27:22.519000Z,3,-96,2,D1C114BF764A1500
1592994444601,2020-06-24T10:27:24.601000Z,3,-100,3,D1C114BF764A1501
1592994498516,2020-06-24T10:28:18.516000Z,5,-96,3,D1C114BF764A1500
1592994558790,2020-06-24T10:29:18.790000Z,3,-96,2,D1C114BF764A1500
1592994564598,2020-06-24T10:29:24.598000Z,5,-105,3,D1C114BF764A1501
1592994624600,2020-06-24T10:30:24.600000Z,4,-105,3,D1C114BF764A1501
1592994682520,2020-06-24T10:31:22.520000Z,4,-93,2,D1C114BF764A1500
1592994684599,2020-06-24T10:31:24.599000Z,4,-98,3,D1C114BF764A1501
1592994738524,2020-06-24T10:32:18.524000Z,3,-93,2,D1C114BF764A1500
1592994740600,2020-06-24T10:32:20.600000Z,3,-107,2,D1C114BF764A1501
1592994798519,2020-06-24T10:33:18.519000Z,2,-95,1,D1C114BF764A1500
1592994804599,2020-06-24T10:33:24.599000Z,3,-106,3,D1C114BF764A1501
1592994858522,2020-06-24T10:34:18.522000Z,3,-95,2,D1C114BF764A1500
1592994864599,2020-06-24T10:34:24.599000Z,4,-113,2,D1C114BF764A1501
1592994918792,2020-06-24T10:35:18.792000Z,3,-97,4,D1C114BF764A1500
1592994924599,2020-06-24T10:35:24.599000Z,4,-113,3,D1C114BF764A1501
1592994982517,2020-06-24T10:36:22.517000Z,3,-113,2,D1C114BF764A1500
1592995038517,2020-06-24T10:37:18.517000Z,2,-96,4,D1C114BF764A1500
1592995044601,2020-06-24T10:37:24.601000Z,3,-105,3,D1C114BF764A1501
1592995104604,2020-06-24T10:38:24.604000Z,4,-109,2,D1C114BF764A1501
1592995158522,2020-06-24T10:39:18.522000Z,2,-96,3,D1C114BF764A1500
1592995164601,2020-06-24T10:39:24.601000Z,4,-102,4,D1C114BF764A1501
1592995222519,2020-06-24T10:40:22.519000Z,2,-98,2,D1C114BF764A1500
1592995224600,2020-06-24T10:40:24.600000Z,3,-102,2,D1C114BF764A1501
1592995282520,2020-06-24T10:41:22.520000Z,3,-97,3,D1C114BF764A1500
1592995284601,2020-06-24T10:41:24.601000Z,4,-105,3,D1C114BF764A1501
1592995342520,2020-06-24T10:42:22.520000Z,2,-98,2,D1C114BF764A1500
1592995344628,2020-06-24T10:42:24.628000Z,5,-104,3,D1C114BF764A1501
1592995398520,2020-06-24T10:43:18.520000Z,2,-98,1,D1C114BF764A1500
1592995404602,2020-06-24T10:43:24.602000Z,4,-101,2,D1C114BF764A1501
1592995462565,2020-06-24T10:44:22.565000Z,2,-99,2,D1C114BF764A1500
1592995522524,2020-06-24T10:45:22.524000Z,3,-100,2,D1C114BF764A1500
1592995524608,2020-06-24T10:45:24.608000Z,4,-104,5,D1C114BF764A1501
1592995582526,2020-06-24T10:46:22.526000Z,3,-102,4,D1C114BF764A1500
1592995584601,2020-06-24T10:46:24.601000Z,4,-113,1,D1C114BF764A1501
1592995638529,2020-06-24T10:47:18.529000Z,3,-95,3,D1C114BF764A1500
1592995644602,2020-06-24T10:47:24.602000Z,4,-95,2,D1C114BF764A1501
1592995698523,2020-06-24T10:48:18.523000Z,3,-94,1,D1C114BF764A1500
1592995704604,2020-06-24T10:48:24.604000Z,4,-103,0,D1C114BF764A1501
1592995762523,2020-06-24T10:49:22.523000Z,3,-98,3,D1C114BF764A1500
1592995764602,2020-06-24T10:49:24.602000Z,3,-99,4,D1C114BF764A1501
1592995818524,2020-06-24T10:50:18.524000Z,4,-95,3,D1C114BF764A1500
1592995820602,2020-06-24T10:50:20.602000Z,5,-100,3,D1C114BF764A1501
1592995884605,2020-06-24T10:51:24.605000Z,7,-107,3,D1C114BF764A1501
1592995942526,2020-06-24T10:52:22.526000Z,6,-93,2,D1C114BF764A1500
1592995998592,2020-06-24T10:53:18.592000Z,5,-94,1,D1C114BF764A1500
1592996004608,2020-06-24T10:53:24.608000Z,7,-100,3,D1C114BF764A1501
1592996058526,2020-06-24T10:54:18.526000Z,5,-95,2,D1C114BF764A1500
1592996064604,2020-06-24T10:54:24.604000Z,6,-101,2,D1C114BF764A1501
1592996122527,2020-06-24T10:55:22.527000Z,5,-97,2,D1C114BF764A1500
1592996124604,2020-06-24T10:55:24.604000Z,7,-94,3,D1C114BF764A1501
1592996178532,2020-06-24T10:56:18.532000Z,6,-94,3,D1C114BF764A1500
1592996184604,2020-06-24T10:56:24.604000Z,7,-102,2,D1C114BF764A1501
1592996238528,2020-06-24T10:57:18.528000Z,5,-89,3,D1C114BF764A1500
1592996244605,2020-06-24T10:57:24.605000Z,9,-104,3,D1C114BF764A1501
1592996273500,2020-06-24T10:57:53.500000Z,2,-92,3,D1C114BF764A1500
1592996302526,2020-06-24T10:58:22.526000Z,6,-102,4,D1C114BF764A1500
1592996304604,2020-06-24T10:58:24.604000Z,8,-103,2,D1C114BF764A1501
1592996364605,2020-06-24T10:59:24.605000Z,7,-103,2,D1C114BF764A1501
1592996418530,2020-06-24T11:00:18.530000Z,5,-93,3,D1C114BF764A1500
1592996478532,2020-06-24T11:01:18.532000Z,5,-96,2,D1C114BF764A1500
1592996484608,2020-06-24T11:01:24.608000Z,6,-102,2,D1C114BF764A1501
1592996542528,2020-06-24T11:02:22.528000Z,5,-97,2,D1C114BF764A1500
1592996544611,2020-06-24T11:02:24.611000Z,6,-102,2,D1C114BF764A1501
1592996604607,2020-06-24T11:03:24.607000Z,6,-101,4,D1C114BF764A1501
1592996607667,2020-06-24T11:03:27.667000Z,5,-95,2,D1C114BF764A1500
1592996662528,2020-06-24T11:04:22.528000Z,4,-102,1,D1C114BF764A1500
1592996664625,2020-06-24T11:04:24.625000Z,5,-102,2,D1C114BF764A1501
1592996718806,2020-06-24T11:05:18.806000Z,5,-91,1,D1C114BF764A1500
1592996724607,2020-06-24T11:05:24.607000Z,6,-101,1,D1C114BF764A1501
1592996782528,2020-06-24T11:06:22.528000Z,4,-107,3,D1C114BF764A1500
1592996784605,2020-06-24T11:06:24.605000Z,5,-102,2,D1C114BF764A1501
1592996843667,2020-06-24T11:07:23.667000Z,2,-97,3,D1C114BF764A1500
1592996902658,2020-06-24T11:08:22.658000Z,3,-95,1,D1C114BF764A1500
1592996962696,2020-06-24T11:09:22.696000Z,4,-95,1,D1C114BF764A1500
1592996964614,2020-06-24T11:09:24.614000Z,6,-102,3,D1C114BF764A1501
1592997022532,2020-06-24T11:10:22.532000Z,5,-99,3,D1C114BF764A1500
1592997024683,2020-06-24T11:10:24.683000Z,6,-90,4,D1C114BF764A1501
