1008;2020-07-07 10:42:04.583528+00;1;Aktiiviset
1009;2020-07-07 10:42:08.321346+00;11;Alueella
1010;2020-07-07 10:42:11.443694+00;2;Aktiiviset
1011;2020-07-07 10:42:15.481213+00;1;Aktiiviset
1012;2020-07-07 10:42:36.071355+00;2;Aktiiviset
1013;2020-07-07 10:42:39.091932+00;1;Aktiiviset
1014;2020-07-07 10:42:43.800536+00;2;Aktiiviset
1015;2020-07-07 10:42:44.050501+00;3;Aktiiviset
1016;2020-07-07 10:42:48.577398+00;4;Aktiiviset
1017;2020-07-07 10:42:55.784911+00;3;Aktiiviset
1018;2020-07-07 10:43:00.480709+00;4;Aktiiviset
1019;2020-07-07 10:43:04.295016+00;3;Aktiiviset
1020;2020-07-07 10:43:06.071768+00;2;Aktiiviset
1021;2020-07-07 10:43:08.942965+00;1;Aktiiviset
1022;2020-07-07 10:43:15.751128+00;2;Aktiiviset
1023;2020-07-07 10:43:22.798383+00;12;Alueella
1024;2020-07-07 10:43:23.337215+00;13;Alueella
1025;2020-07-07 10:43:24.250606+00;3;Aktiiviset
1026;2020-07-07 10:43:29.372879+00;4;Aktiiviset
1027;2020-07-07 10:43:37.909393+00;5;Aktiiviset
1028;2020-07-07 10:43:42.700873+00;12;Alueella
1029;2020-07-07 10:43:44.878672+00;11;Alueella
1030;2020-07-07 10:43:46.809316+00;4;Aktiiviset
1031;2020-07-07 10:43:49.091455+00;3;Aktiiviset
1032;2020-07-07 10:43:50.450779+00;2;Aktiiviset
1033;2020-07-07 10:44:02.988213+00;12;Alueella
1034;2020-07-07 10:44:03.094479+00;3;Aktiiviset
1035;2020-07-07 10:44:03.327668+00;4;Aktiiviset
1036;2020-07-07 10:44:04.051292+00;3;Aktiiviset
1037;2020-07-07 10:44:06.13844+00;2;Aktiiviset
1038;2020-07-07 10:44:06.660773+00;1;Aktiiviset
1039;2020-07-07 10:44:33.80198+00;2;Aktiiviset
1040;2020-07-07 10:44:34.245736+00;1;Aktiiviset
1041;2020-07-07 10:44:37.332933+00;2;Aktiiviset
1042;2020-07-07 10:44:42.538345+00;3;Aktiiviset
1043;2020-07-07 10:44:42.833047+00;4;Aktiiviset
